nnodes,tembedding,tsolve,tqpu
5,0.0165200233459,0.0159950256348,n/a
6,0.0190908908844,0.0178599357605,n/a
7,0.0314290523529,0.0179481506348,n/a
8,0.0543928146362,0.0208389759064,n/a
9,0.132380962372,0.0298540592194,n/a
10,0.110928058624,0.0424699783325,n/a
11,0.246638059616,0.0576319694519,n/a
12,0.215385913849,0.079418182373,n/a
13,0.303708076477,0.112362146378,n/a
14,0.170900821686,0.21434378624,n/a
15,0.202391147614,0.335347890854,n/a
16,0.309961080551,0.769718885422,n/a
17,0.152127981186,1.24913191795,n/a
