date,delta,delta_per_edge
2016-05-13,8.0,0.1
2014-07-07,5.0,0.121951219512
2013-10-00,1.0,0.0357142857143
2014-09-00,5.0,0.111111111111
2015-05-00,7.0,0.106060606061
2004-10-00,0.0,0.0
2012-11-00,0.0,0.0
2013-11-01,1.0,0.0322580645161
total,9.0,0.10843373494
2013-07-01,1.0,0.0416666666667
2016-10-00,9.0,0.10843373494
2014-06-00,4.0,0.105263157895
2009-04-00,0.0,0.0
2014-10-00,5.0,0.108695652174
2015-07-00,8.0,0.117647058824
2014-11-00,6.0,0.130434782609
2011-09-00,0.0,0.0
2014-01-03,2.0,0.0571428571429
2016-04-07,8.0,0.101265822785
2013-02-01,0.0,0.0
2016-05-00,8.0,0.1
2013-09-01,1.0,0.037037037037
2016-06-00,8.0,0.0987654320988
2014-00-00,1.0,0.030303030303
2013-11-00,1.0,0.0333333333333
2015-11-00,8.0,0.109589041096
2016-09-00,8.0,0.0975609756098
2015-09-00,9.0,0.125
2012-07-00,0.0,0.0
2013-10-15,1.0,0.0344827586207
2012-09-00,0.0,0.0
2014-08-00,5.0,0.119047619048
2007-00-00,0.0,0.0
2013-04-00,0.0,0.0
2015-07-18,8.0,0.115942028986
2015-10-00,8.0,0.111111111111
2012-04-01,0.0,0.0
2016-01-00,7.0,0.0945945945946
2015-06-00,8.0,0.119402985075
2013-01-00,0.0,0.0
2012-06-01,0.0,0.0
2013-12-15,1.0,0.03125
2016-04-00,7.0,0.0897435897436
2009-00-00,0.0,0.0
2012-08-00,0.0,0.0
2013-03-00,0.0,0.0
2015-01-00,7.0,0.142857142857
2011-03-00,0.0,0.0
2013-06-00,1.0,0.0434782608696
2014-07-00,4.0,0.1
2015-04-00,7.0,0.107692307692
2015-12-00,7.0,0.0958904109589
2014-05-00,4.0,0.111111111111
2012-02-00,0.0,0.0
2014-01-00,1.0,0.0294117647059
2015-03-00,7.0,0.107692307692
2014-12-00,7.0,0.142857142857
2011-11-00,0.0,0.0
2013-05-00,0.0,0.0
2015-02-00,7.0,0.134615384615
2013-08-00,1.0,0.0384615384615
2014-03-00,3.0,0.0857142857143
2016-03-00,7.0,0.0909090909091
2016-02-00,7.0,0.0921052631579
2014-04-00,4.0,0.114285714286
2012-11-01,0.0,0.0
2015-08-00,9.0,0.12676056338
